Date,Lake,TAG.NUMBER,Species,Length (mm),Weight (g),Recap,Tag Loss,Fin Clipped,Notes,Gear,Site.Transect,Start Latitude,Start Longitude,End Latitude,End Longitude,On Time (s),Water Temp (C),Secchi (cm),Weather,Year
4/4/2019,N Twin ,5565,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/4/2019,N Twin ,5583,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/4/2019,N Twin ,6349,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/4/2019,N Twin ,5466,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/4/2019,N Twin ,6792,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/4/2019,N Twin ,5443,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/4/2019,N Twin ,5413,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/4/2019,N Twin ,14217,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/4/2019,N Twin ,5027,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/4/2019,N Twin ,5181,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/4/2019,N Twin ,5584,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/4/2019,N Twin ,1740,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/4/2019,N Twin ,16549,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/4/2019,N Twin ,6389,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/4/2019,N Twin ,6309,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/4/2019,N Twin ,5590,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/4/2019,N Twin ,6478,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/4/2019,N Twin ,5571,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/4/2019,N Twin ,1631,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/4/2019,N Twin ,6375,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
