Lake,Envelope #,Species,TL mm,Weight g,Spine MAS,Otolith MAS,Spine PVG,Otolith PVG,Spine TFF,Otolith TFF,Spine DRF,Otolith DRF
Center,17,BIB,624,3959,9,,12,,12,,,
Center,18,BIB,505,2461,7,,10,,8,,,
Center,19,BIB,459,1339,4,,7,,4,,,
Center,20,BIB,460,1771,4,,11,,6,,,
Center,21,BIB,527,2374,7,,10,,6,,,
Center,22,BIB,500,2206,7,,9,,7,,,
Center,23,BIB,533,3255,7,,10,,6,,,
Center,24,BIB,513,2679,7,,7,,4,,,
Center,25,BIB,437,1317,7,,12,,19,,,
Center,26,BIB,558,3160,10,,14,,10,,,
Center,27,BIB,543,3187,9,,10,,12,,,
Center,28,BIB,656,5961,11,,12,,12,,,
Center,29,BIB,617,3714,7,,10,,6,,,
Center,30,BIB,590,3055,7,,11,,14,,,
Center,31,BIB,398,1171,6,,12,,5,,,
Center,32,BIB,511,2238,5,,15,,3,,,
Center,33,BIB,586,3891,7,,9,,13,,,
Center,34,BIB,569,2860,6,,8,,5,,,
Center,35,BIB,534,2983,6,,9,,8,,,
Center,36,BIB,400,976,4,,8,,5,,,
Center,37,BIB,576,3282,8,,12,,8,,,
Center,38,BIB,510,1920,6,,7,,6,,,
Center,39,BIB,425,1167,4,,8,,6,,,
Center,40,BIB,524,2461,6,,9,,8,,,
Center,41,BIB,711,6769,5,,7,,7,,,
Center,42,BIB,440,1312,5,,7,,7,,,
Center,43,BIB,499,2007,7,,12,,7,,,
Center,44,BIB,448,1562,6,,9,,6,,,
Center,45,BIB,389,917,4,,9,,8,,,
Center,46,BIB,399,1071,5,,9,,6,,,
Center,47,BIB,403,1044,5,,8,,6,,,
Center,48,BIB,386,840,6,,10,,9,,,
Center,49,BIB,412,1049,6,,9,,7,,,
Center,50,BIB,552,2951,8,,8,,12,,,
Center,51,BIB,512,2293,6,,8,,10,,,
Center,52,BIB,758,9498,10,,9,,21,,,
Center,53,BIB,682,5498,8,,10,,13,,,
Center,54,BIB,518,2742,6,,14,,10,,,
Center,55,BIB,601,3228,7,,8,,8,,,
Center,56,BIB,668,5212,9,,9,,10,,,
Center,57,BIB,509,2225,7,,8,,7,,,
Center,58,BIB,429,1117,5,,6,,8,,,
Center,59,BIB,540,2561,7,,9,,9,,,
Center,60,BIB,524,2411,7,,8,,15,,,
Center,61,BIB,373,763,5,,8,,5,,,
Center,62,BIB,530,2629,6,,8,,13,,,
Center,63,BIB,562,3137,8,,12,,13,,,
Center,64,BIB,561,2719,8,,7,,10,,,
Center,65,BIB,626,4091,8,,12,,7,,,
Center,66,BIB,505,2093,6,,7,,6,,,
Center,67,BIB,451,1530,4,,9,,4,,,
Center,68,BIB,643,5362,8,,7,,7,,,
Center,69,BIB,473,1875,7,,12,,16,,,
Center,70,BIB,511,2202,7,,13,,4,,,
Center,71,BIB,433,1357,5,,6,,13,,,
Center,72,BIB,591,4245,10,,9,,16,,,
Center,73,BIB,723,6996,10,,6,,4,,,
Center,74,BIB,413,1112,5,,10,,6,,,
Center,75,BIB,635,4349,9,,12,,7,,,
Center,76,BIB,435,1294,5,,5,,9,,,
