Date,Lake,Run,On-Time (s),EnvTag,Species,TL mm,Weight g
5/31/2018,Blue,1,2625,8909,COC,424,
5/31/2018,Blue,1,2625,8910,COC,366,
5/31/2018,Blue,1,2625,8910,COC,370,
5/31/2018,Blue,1,2625,8911,COC,360,
5/31/2018,Blue,1,2625,8911,COC,380,
5/31/2018,Blue,1,2625,8912,COC,370,
5/31/2018,Blue,1,2625,8912,COC,382,
5/31/2018,Blue,1,2625,8913,COC,410,
5/31/2018,Blue,1,2625,8913,COC,420,
5/31/2018,Blue,1,2625,8914,COC,334,
5/31/2018,Blue,1,2625,8914,COC,480,
5/31/2018,Blue,1,2625,8915,COC,360,
5/31/2018,Blue,1,2625,8915,COC,402,
5/31/2018,Blue,1,2625,8916,COC,372,
5/31/2018,Blue,1,2625,8916,COC,380,
5/31/2018,Blue,1,2625,8917,COC,358,
5/31/2018,Blue,1,2625,8917,COC,384,
5/31/2018,Blue,1,2625,8918,COC,368,
5/31/2018,Blue,1,2625,8918,COC,380,
5/31/2018,Blue,1,2625,8919,COC,348,
5/31/2018,Blue,1,2625,8919,COC,400,
5/31/2018,Blue,1,2625,8920,COC,364,
5/31/2018,Blue,1,2625,8920,COC,366,
5/31/2018,Blue,1,2625,8921,COC,358,
5/31/2018,Blue,1,2625,8921,COC,374,
5/31/2018,Blue,1,2625,8922,COC,358,
5/31/2018,Blue,1,2625,8922,COC,386,
5/31/2018,Blue,1,2625,8923,COC,370,
5/31/2018,Blue,1,2625,8923,COC,376,
5/31/2018,Blue,1,2625,8924,COC,366,
5/31/2018,Blue,1,2625,8924,COC,380,
5/31/2018,Blue,1,2625,8925,COC,370,
5/31/2018,Blue,1,2625,8925,COC,386,
5/31/2018,Blue,1,2625,8926,COC,374,
5/31/2018,Blue,1,2625,8926,COC,440,
5/31/2018,Blue,1,2625,8927,COC,352,
5/31/2018,Blue,1,2625,8927,COC,366,
5/31/2018,Blue,1,2625,8928,COC,358,
5/31/2018,Blue,1,2625,8928,COC,400,
5/31/2018,Blue,1,2625,8929,COC,358,
5/31/2018,Blue,1,2625,8929,COC,386,
5/31/2018,Blue,1,2625,8930,COC,394,
5/31/2018,Blue,1,2625,8930,COC,398,
5/31/2018,Blue,1,2625,8931,COC,424,
5/31/2018,Blue,1,2625,8932,COC,388,
5/31/2018,Blue,1,2625,8933,COC,398,
5/31/2018,Blue,1,2625,8934,COC,396,
5/31/2018,Blue,1,2625,8935,COC,376,
5/31/2018,Blue,1,2625,8936,COC,340,
5/31/2018,Blue,1,2625,8937,COC,400,
5/31/2018,Blue,1,2625,8938,COC,350,
5/31/2018,Blue,1,2625,8939,COC,392,
5/31/2018,Blue,1,2625,8940,COC,364,
5/31/2018,Blue,1,2625,8941,COC,372,
5/31/2018,Blue,1,2625,8942,COC,374,
5/31/2018,Blue,1,2625,8943,COC,364,
5/31/2018,Blue,1,2625,8944,COC,390,
5/31/2018,Blue,1,2625,8945,COC,342,
5/31/2018,Blue,1,2625,8946,COC,488,
5/31/2018,Blue,1,2625,8947,COC,384,
5/31/2018,Blue,1,2625,8948,COC,394,
5/31/2018,Blue,1,2625,8949,COC,364,
5/31/2018,Blue,1,2625,8950,COC,466,
5/31/2018,Blue,1,2625,8952,COC,566,
5/31/2018,Blue,1,2625,8953,COC,540,
5/31/2018,Blue,1,2625,8954,COC,380,
5/31/2018,Blue,1,2625,8955,COC,388,
5/31/2018,Blue,1,2625,8956,COC,376,
5/31/2018,Blue,1,2625,8957,COC,490,
5/31/2018,Blue,1,2625,8958,COC,524,
5/31/2018,Blue,1,2625,8959,COC,364,
5/31/2018,Blue,1,2625,8960,COC,368,
5/31/2018,Blue,1,2625,8961,COC,500,
5/31/2018,Blue,1,2625,8962,COC,350,
5/31/2018,Blue,1,2625,8963,COC,350,
5/31/2018,Blue,1,2625,8964,COC,382,
5/31/2018,Blue,1,2625,8965,COC,412,
5/31/2018,Blue,1,2625,8966,COC,456,
5/31/2018,Blue,1,2625,8967,COC,436,
5/31/2018,Blue,1,2625,8968,COC,394,
5/31/2018,Blue,1,2625,8969,COC,472,
5/31/2018,Blue,1,2625,8970,COC,368,
5/31/2018,Blue,1,2625,8971,COC,410,
5/31/2018,Blue,1,2625,8972,COC,370,
5/31/2018,Blue,1,2625,8973,COC,374,
5/31/2018,Blue,1,2625,8974,COC,388,
5/31/2018,Blue,1,2625,8975,COC,554,
5/31/2018,Blue,1,2625,8976,COC,408,
5/31/2018,Blue,1,2625,8977,COC,342,
5/31/2018,Blue,1,2625,8978,COC,358,
5/31/2018,Blue,1,2625,8979,COC,352,
5/31/2018,Blue,1,2625,8980,COC,358,
5/31/2018,Blue,1,2625,8981,COC,346,
5/31/2018,Blue,1,2625,8982,COC,352,
5/31/2018,Blue,1,2625,8983,COC,386,
5/31/2018,Blue,1,2625,8984,COC,388,
5/31/2018,Blue,1,2625,8985,COC,548,
5/31/2018,Blue,1,2625,8986,COC,394,
5/31/2018,Blue,1,2625,8987,COC,372,
5/31/2018,Blue,1,2625,8988,COC,460,
5/31/2018,Blue,1,2625,8989,COC,348,
5/31/2018,Blue,1,2625,8990,COC,350,
5/31/2018,Blue,1,2625,8991,COC,390,
5/31/2018,Blue,1,2625,8992,COC,538,
5/31/2018,Blue,1,2625,8993,COC,364,
5/31/2018,Blue,1,2625,8994,COC,394,
5/31/2018,Blue,1,2625,8995,COC,560,
5/31/2018,Blue,1,2625,8996,COC,384,
5/31/2018,Blue,1,2625,8997,COC,394,
5/31/2018,Blue,1,2625,8998,COC,596,
5/31/2018,Blue,1,2625,8999,COC,376,
5/31/2018,Blue,1,2625,9000,COC,376,
5/31/2018,Blue,1,2625,10027,COC,516,
5/31/2018,Blue,1,2625,18863,COC,434,
6/1/2018,Blue,1,2426,565,COC,546,
6/1/2018,Blue,1,2426,7896,COC,532,
6/1/2018,Blue,1,2426,8691,COC,354,
6/1/2018,Blue,1,2426,8931,COC,368,
6/1/2018,Blue,1,2426,8932,COC,350,
6/1/2018,Blue,1,2426,8933,COC,376,
6/1/2018,Blue,1,2426,8934,COC,374,
6/1/2018,Blue,1,2426,8935,COC,390,
6/1/2018,Blue,1,2426,8936,COC,452,
6/1/2018,Blue,1,2426,8937,COC,374,
6/1/2018,Blue,1,2426,8938,COC,484,
6/1/2018,Blue,1,2426,8939,COC,362,
6/1/2018,Blue,1,2426,8940,COC,388,
6/1/2018,Blue,1,2426,8941,COC,398,
6/1/2018,Blue,1,2426,8942,COC,372,
6/1/2018,Blue,1,2426,8943,COC,378,
6/1/2018,Blue,1,2426,8944,COC,606,
6/1/2018,Blue,1,2426,8945,COC,370,
6/1/2018,Blue,1,2426,8946,COC,494,
6/1/2018,Blue,1,2426,8947,COC,532,
6/1/2018,Blue,1,2426,8948,COC,530,
6/1/2018,Blue,1,2426,8949,COC,438,
6/1/2018,Blue,1,2426,8950,COC,411,
6/1/2018,Blue,1,2426,8951,COC,420,
6/1/2018,Blue,1,2426,8952,COC,366,
6/1/2018,Blue,1,2426,8953,COC,392,
6/1/2018,Blue,1,2426,8954,COC,400,
6/1/2018,Blue,1,2426,8955,COC,372,
6/1/2018,Blue,1,2426,8956,COC,372,
6/1/2018,Blue,1,2426,8957,COC,346,
6/1/2018,Blue,1,2426,8958,COC,630,
6/1/2018,Blue,1,2426,8959,COC,382,
6/1/2018,Blue,1,2426,8960,COC,398,
6/1/2018,Blue,1,2426,8961,COC,428,
6/1/2018,Blue,1,2426,8962,COC,432,
6/1/2018,Blue,1,2426,8963,COC,362,
6/1/2018,Blue,1,2426,8964,COC,366,
6/1/2018,Blue,1,2426,8965,COC,546,
6/1/2018,Blue,1,2426,8966,COC,468,
6/1/2018,Blue,1,2426,8967,COC,350,
6/1/2018,Blue,1,2426,8968,COC,394,
6/1/2018,Blue,1,2426,8969,COC,400,
6/1/2018,Blue,1,2426,8970,COC,388,
6/1/2018,Blue,1,2426,8971,COC,508,
6/1/2018,Blue,1,2426,8972,COC,528,
6/1/2018,Blue,1,2426,8973,COC,570,
6/1/2018,Blue,1,2426,9560,COC,480,
6/1/2018,Blue,2,1724,344,COC,350,
6/1/2018,Blue,2,1724,553,COC,390,
6/1/2018,Blue,2,1724,901,COC,392,
6/1/2018,Blue,2,1724,902,COC,412,
