Lake,#,Species,TL.mm,Weight.g,OtolithMAS1,SpineMAS1,OtolithMAS2,SpineMAS2,OtolithPVG1,SpinePVG1
N Twin,208,COC,554,2405,8,6,5,5,7,7
Blue,1,Carp,420,1085,5,5,6,5,,
Blue,2,Carp,424,1115,5,3,3,3,,
Blue,3,Carp,596,2845,8,7,7,9,,
Blue,4,Carp,402,675,4,4,3,4,,
Blue,5,Carp,352,525,,2,,4,,
Blue,6,Carp,330,495,,2,,2,,
Blue,7,Carp,334,770,,3,,3,,
Blue,8,Carp,494,1595,6,6,6,6,,
Blue,9,Carp,480,1255,5,5,5,6,,
Blue,10,Carp,496,1475,5,4,9,7,,
Blue,11,Carp,502,1795,7,7,8,9,,
Blue,12,Carp,338,540,3,3,2,3,,
Blue,13,Carp,422,910,4,4,3,4,,
Blue,14,Carp,388,765,4,4,3,3,,
Blue,15,Carp,550,2145,7,7,7,7,,
Blue,16,Carp,354,580,3,3,4,2,,
Blue,17,Carp,440,955,4,4,4,4,,
Blue,18,Carp,428,935,4,4,4,4,,
Blue,19,Carp,348,545,2,3,3,3,,
Blue,20,Carp,372,625,4,4,4,3,,
Blue,21,Carp,361,660,2,3,2,2,,
Blue,22,Carp,358,560,3,3,3,3,,
Blue,23,Carp,374,620,3,3,4,5,,
Blue,24,Carp,342,530,,2,,2,,
Blue,25,Carp,426,795,5,5,5,4,,
Blue,26,Carp,370,650,4,3,4,3,,
Blue,27,Carp,510,1920,8,7,8,7,,
Blue,28,Carp,390,765,3,3,2,3,,
Blue,29,Carp,380,605,3,4,3,4,,
Blue,30,Carp,376,680,4,4,4,5,,
Blue,31,Carp,384,695,4,5,4,4,,
Blue,32,Carp,372,635,4,4,4,3,,
Blue,33,Carp,368,660,3,4,4,4,,
Blue,34,Carp,388,735,5,5,4,6,,
Blue,35,Carp,560,2230,8,8,12,10,,
Blue,36,Carp,524,1665,6,5,9,6,,
Blue,37,Carp,500,1465,7,7,7,7,,
Blue,38,Carp,496,1495,6,6,7,6,,
Blue,39,Carp,382,675,4,4,5,5,,
Blue,40,Carp,360,565,3,3,4,5,,
Blue,41,Carp,340,595,4,3,6,6,,
Blue,42,Carp,318,430,3,3,3,3,,
Blue,43,Carp,356,510,3,4,2,3,,
Blue,45,Carp,304,420,3,3,4,4,,
Blue,46,Carp,480,1300,5,5,7,6,,
Blue,48,Carp,322,460,3,2,3,3,,
Blue,49,Carp,330,510,3,3,3,3,,
Blue,50,Carp,362,655,4,4,5,4,,
Blue,51,Carp,274,275,3,,3,,,
Blue,52,Carp,468,1190,6,6,7,6,,
Blue,53,Carp,360,580,3,3,4,3,,
Blue,54,Carp,276,290,2,2,1,1,,
Blue,55,Carp,344,570,4,4,4,5,,
Blue,56,Carp,508,1520,7,6,8,8,,
Blue,57,Carp,374,660,3,3,3,3,,
Blue,58,Carp,530,1600,10,7,11,10,,
Blue,59,Carp,364,560,2,3,2,3,,
Blue,60,Carp,506,1560,7,6,9,9,,
Blue,61,Carp,262,260,1,,1,,,
Blue,62,Carp,354,545,,3,,4,,
Blue,63,Carp,250,220,2,2,2,2,,
Blue,64,Carp,326,465,3,,3,,,
Blue,65,Carp,308,410,,,,,,
Blue,66,Carp,356,560,,4,,5,,
Blue,67,Carp,372,670,4,,4,,,
Blue,68,Carp,386,725,5,3,4,3,,
Blue,69,Carp,368,640,3,3,4,5,,
Blue,70,Carp,272,275,2,,1,,,
