Sample ID,Lake Name,Sampling Date,Chlorophyll a (free of pheophytin) (µg/L),Phycocyanin (µg/L),Total Suspended Solids (mg/L),Volatile Suspended Solids (mg/L),Nonvolatile (Inorganic) Suspended Solids (mg/L),Total Kjeldahl Nitrogen as N (mg/L),Total Phosphorus as P (mg/L),Soluble Reactive Phosphorus as P (mg/L),NO3+NO2 as N (Cadmium-reduced) (mg/L),NH3+NH4 as N (mg/L),TDS (mg/L)
17S03RD5012,(S03) Diamond Lake (Dickinson),9/19/17,20,1.65,23.0,6.0,17.0,3.74,0.3870,0.0581,1.2,2.360,622
17S04136017,(S04) Elk Lake (Clay),5/16/17,45,1.65,37.0,21.0,16.0,0.89,0.1428,0.0024,1.2,0.454,429
17S04RD2004,(S04) Elk Lake (Clay),6/6/17,27,1.65,38.0,32.0,6.0,3.48,0.1242,0.0024,1.4,1.127,423
17S04RD3013,(S04) Elk Lake (Clay),7/11/17,2,1.65,122.0,76.0,46.0,2.20,0.3974,0.0113,0.0,0.011,306
17S04RD4003,(S04) Elk Lake (Clay),8/25/17,15,1.65, 132.0 ,60.0,72.0,2.92,0.3009,0.0024,0.02,0.012,156
17S04RD5018,(S04) Elk Lake (Clay),9/20/17,6,1.65,132.0,96.0,36.0,2.95,0.1727,0.0155,0.02,0.015,226
17S05135010,(S05) Elm Lake (Wright),5/15/17,29,1.65,9.0,10.0,0.3,1.09,0.1340,0.0152,0.4,0.362,337
17S05RD2005,(S05) Elm Lake (Wright),6/5/17,19,1.65,30.0,18.0,12.0,1.72,0.1372,0.0133,0.5,0.310,311
17S05RD3003,(S05) Elm Lake (Wright),7/10/17,43,1.65,70.0,35.0,35.0,5.37,0.4082,0.0099,0.0,0.037,265
17S05RD4013,(S05) Elm Lake (Wright),8/24/17,41,1.65, 47.0 ,19.0,28.0,2.07,0.1727,0.0155,0.02,0.015,166
17S05RD5002,(S05) Elm Lake (Wright),9/19/17,120,1.65,62.0,32.0,30.0,2.54,0.2362,0.1601,0.1,0.279,267
17S06136014,(S06) Four Mile Lake (Emmet),5/16/17,9,1.65,9.0,4.0,5.0,1.35,0.2837,0.1694,0.5,0.234,546
17S06RD2006,(S06) Four Mile Lake (Emmet),6/5/17,2,1.65,17.0,10.0,7.0,1.06,0.1374,0.1032,1.7,0.101,490
17S06RD3004,(S06) Four Mile Lake (Emmet),7/10/17,2,1.65,24.0,9.0,15.0,7.33,0.3595,0.0648,0.0,0.019,535
17S06RD4004,(S06) Four Mile Lake (Emmet),8/24/17,1.65,1.65, 3.0 ,1.0,2.0,1.54,0.2362,0.1601,0.8,0.279,337
17S07136019,(S07) Garlock Slough (Dickinson),5/16/17,6,1.65,22.5,9.5,13.0,0.66,0.1351,0.0336,0.0,0.144,584
17S07RD2007,(S07) Garlock Slough (Dickinson),6/6/17,203,1.65,83.0,72.0,11.0,1.94,0.1478,0.0549,0.0,0.143,487
17S07RD3014,(S07) Garlock Slough (Dickinson),7/11/17,11,1.65,<0.8,0.0,0.3,11.01,1.1085,0.0545,0.0,0.448,501
17S07RD4014,(S07) Garlock Slough (Dickinson),8/25/17,1.65,1.65, 32.0 ,15.0,17.0,0.69,0.0525,0.0024,0.02,0.034,265
17S07RD5013,(S07) Garlock Slough (Dickinson),9/19/17,1.65,1.65,5.0,6.0,0.3,0.62,0.2421,0.0024,0.02,0.009,415
17S08135017,(S08) High Lake (Emmet),5/15/17,5,1.65,15.0,8.0,7.0,1.50,0.0766,0.0238,0.4,0.583,502
